date,state,cases_avg,deaths_avg
2020-04-09,Delaware,116.57,1.57
2020-04-09,Connecticut,851.43,38.29
2020-04-09,Colorado,353.43,18.71
2020-04-09,California,1285.86,43
2020-04-09,Arkansas,66.14,1.29
2020-04-09,Arizona,202.57,7.71
2020-04-09,Alaska,12.43,0.43
2020-04-09,Alabama,224,6.57
2020-04-10,Northern Mariana Islands,0.43,0.14
2020-04-10,Guam,60.43,0
2020-04-10,Puerto Rico,49.57,3.43
2020-04-10,Virgin Islands,1.86,0.14
2020-04-10,Wyoming,13.33,0
2020-04-10,Wisconsin,164.57,11.57
2020-04-10,West Virginia,42.14,0.43
2020-04-10,Washington,417.29,27.14
2020-04-10,Virginia,356.86,14
2020-04-10,Vermont,41.43,1
2020-04-10,Utah,122.14,1.43
2020-04-10,Texas,931.14,21.57
2020-04-10,Tennessee,251.57,9.43
2020-04-10,South Dakota,49.86,0.57
2020-04-10,South Carolina,195,5.43
2020-04-10,Rhode Island,186.29,5
2020-04-10,Pennsylvania,1672.57,47.57
2020-04-10,Oregon,67.43,3.71
2020-04-10,Oklahoma,115,7.14
2020-04-10,Ohio,366.71,20
2020-04-10,North Dakota,15,0.57
2020-04-10,North Carolina,259,7.86
2020-04-10,New York,9877.29,920.86
2020-04-10,New Mexico,85,1.29
2020-04-10,New Jersey,3527.57,183.57
2020-04-10,New Hampshire,49.29,2.14
2020-04-10,Nevada,151,6.14
2020-04-10,Nebraska,54.43,1.71
2020-04-10,Montana,14.71,0.14
2020-04-10,Missouri,240.86,9.86
2020-04-10,Mississippi,158.71,7.57
2020-04-10,Minnesota,78,5
2020-04-10,Michigan,1425.29,114.57
2020-04-10,Massachusetts,1510.29,58.14
2020-04-10,Maryland,601.43,18.57
2020-04-10,Maine,22,1.14
2020-04-10,Louisiana,1279.14,55
2020-04-10,Kentucky,134.29,8
2020-04-10,Kansas,79.29,4.43
2020-04-10,Iowa,98.43,2.86
2020-04-10,Indiana,500.71,33.57
2020-04-10,Illinois,1283.29,56.43
2020-04-10,Idaho,59,2.14
2020-04-10,Hawaii,20.86,0.71
2020-04-10,Georgia,841.71,32.43
2020-04-10,Florida,1100,35.57
2020-04-10,District of Columbia,129,3.29
2020-04-10,Delaware,125.14,2.57
2020-04-10,Connecticut,803.29,45.14
2020-04-10,Colorado,332.57,20.43
2020-04-10,California,1256.71,44.57
2020-04-10,Arkansas,66.29,1.71
2020-04-10,Arizona,191.86,8
2020-04-10,Alaska,12.57,0.43
2020-04-10,Alabama,210.43,6
2020-04-11,Northern Mariana Islands,0.43,0.14
2020-04-11,Guam,65.43,0.14
2020-04-11,Puerto Rico,48,3.43
2020-04-11,Virgin Islands,1.29,0.14
2020-04-11,Wyoming,13.5,0
2020-04-11,Wisconsin,157.29,11.57
2020-04-11,West Virginia,44.43,0.57
